genus,abundance,maturity,species
Microcystis_PCC-7914,2.39705e-4,Mature,Gibbons
Elusimicrobium,NA,Immature,Gibbons
Elusimicrobium,2.31213e-4,Mature,Gibbons
Subdoligranulum,NA,Immature,Gibbons
Subdoligranulum,2.27574e-4,Mature,Gibbons
Coriobacteriaceae_UCG-003,NA,Immature,Gibbons
Coriobacteriaceae_UCG-003,2.16711e-4,Mature,Gibbons
EMP-G18,NA,Immature,Gibbons
EMP-G18,1.97466e-4,Mature,Gibbons
Unassigned Veillonellaceae,NA,Immature,Gibbons
Unassigned Veillonellaceae,1.94929e-4,Mature,Gibbons
GCA-900066575,NA,Immature,Gibbons
GCA-900066575,1.92448e-4,Mature,Gibbons
Unassigned Acholeplasmataceae,NA,Immature,Gibbons
Unassigned Acholeplasmataceae,1.8539e-4,Mature,Gibbons
Neisseria,NA,Immature,Gibbons
Neisseria,1.82908e-4,Mature,Gibbons
Oribacterium,NA,Immature,Gibbons
Oribacterium,1.75133e-4,Mature,Gibbons
Agathobacter,NA,Immature,Gibbons
Agathobacter,1.70777e-4,Mature,Gibbons
Candidatus_Soleaferrea,NA,Immature,Gibbons
Candidatus_Soleaferrea,1.69067e-4,Mature,Gibbons
Unassigned Firmicutes,NA,Immature,Gibbons
Unassigned Firmicutes,1.67413e-4,Mature,Gibbons
Dorea,NA,Immature,Gibbons
Dorea,1.65704e-4,Mature,Gibbons
Uncultured Oscillospiraceae,NA,Immature,Gibbons
Uncultured Oscillospiraceae,1.63829e-4,Mature,Gibbons
Acinetobacter,0.00454775506934507,Immature,Hyena
Acinetobacter,0.00309102816752174,Mature,Hyena
Alloprevotella,0.0108650929759213,Immature,Hyena
Alloprevotella,0.0200451981336364,Mature,Hyena
Anaeroplasma,0.00397792026682105,Immature,Hyena
Anaeroplasma,0.00316156724247999,Mature,Hyena
Arthrobacter,0.00834908116413791,Immature,Hyena
Arthrobacter,0.0038158983269253,Mature,Hyena
Bacillales_unclass,0.00455321674476862,Immature,Hyena
Bacillales_unclass,0.00672511866945006,Mature,Hyena
Bacteroides,0.0196838782264848,Immature,Hyena
Bacteroides,0.0256207364810682,Mature,Hyena
Bifidobacterium,0.00255606409822277,Immature,Hyena
Bifidobacterium,0.00611919096698447,Mature,Hyena
Blautia,0.00512669266424168,Immature,Hyena
Blautia,0.00614339265797432,Mature,Hyena
Cand_Arthromitus,0.00383227558885964,Immature,Hyena
Cand_Arthromitus,NA,Mature,Hyena
Carnobacterium,0.00588404498964102,Immature,Hyena
Carnobacterium,0.0103471083258834,Mature,Hyena
Cetobacterium,0.00582214600150742,Immature,Hyena
Cetobacterium,0.00815596986358215,Mature,Hyena
Christensenellaceae_R-7,0.00183148182536475,Immature,Hyena
Christensenellaceae_R-7,NA,Mature,Hyena
Clostridiaceae_1,0.022132529374711,Immature,Hyena
Clostridiaceae_1,0.0235730373092678,Mature,Hyena
Clostridiales_XIII,0.0119628897360554,Immature,Hyena
Clostridiales_XIII,0.0144324718220007,Mature,Hyena
Clostridiales_unclass,0.0872029303709206,Immature,Hyena
Clostridiales_unclass,0.0696725363637786,Mature,Hyena
Clostridium_ss1,0.095402725740148,Immature,Hyena
Clostridium_ss1,0.0713412724717866,Mature,Hyena
Clostridium_ss7,0.0164196168816746,Immature,Hyena
Clostridium_ss7,0.019597171707751,Mature,Hyena
Collinsella,0.00802684231414829,Immature,Hyena
